Date,Value,Anomaly
193210,52.3,-1.8
193211,40.75,-0.94
193212,29.41,-3.27
193301,34.3,4.18
193302,29.59,-4.23
193303,41.83,0.33
193304,49.84,-1.2
193305,59.81,-0.38
193306,71.55,3.08
193307,75.11,1.52
193308,71.89,-0.19
193309,67.71,2.87
193310,55.2,1.1
193311,42.51,0.82
193312,36.43,3.75
193401,35.08,4.96
193402,34.32,0.5
193403,42.78,1.28
193404,53.73,2.69
193405,64.69,4.5
193406,70.66,2.19
193407,76.35,2.76
193408,73.51,1.43
193409,63.82,-1.02
193410,56.5,2.4
193411,45.01,3.32
193412,32.67,-0.01
193501,31.51,1.39
193502,36.01,2.19
193503,43.61,2.11
193504,49.69,-1.35
193505,57.31,-2.88
193506,67.62,-0.85
193507,75.11,1.52
193508,72.95,0.87
193509,64.78,-0.06
193510,53.8,-0.3
193511,39.47,-2.22
193512,30.74,-1.94
193601,27.36,-2.76
193602,25.23,-8.59
193603,43.43,1.93
193604,50.22,-0.82
193605,63.45,3.26
193606,70.59,2.12
193607,76.77,3.18
193608,74.57,2.49
193609,66.34,1.5
193610,53.49,-0.61
193611,39.81,-1.88
193612,34.47,1.79
193701,24.84,-5.28
193702,31.73,-2.09
193703,38.84,-2.66
193704,50.09,-0.95
193705,61.92,1.73
193706,68.77,0.3
193707,74.57,0.98
193708,74.62,2.54
193709,65.68,0.84
193710,53.87,-0.23
193711,40.8,-0.89
193712,32.7,0.02
193801,32.14,2.02
193802,36,2.18
193803,45,3.5
193804,51.71,0.67
193805,59.83,-0.36
193806,68.76,0.29
193807,73.74,0.15
193808,73.71,1.63
193809,66.61,1.77
193810,56.39,2.29
193811,39.92,-1.77
193812,34.21,1.53
193901,33.91,3.79
193902,29.98,-3.84
193903,42.51,1.01
193904,51.51,0.47
193905,62.69,2.5
193906,68.85,0.38
193907,74.84,1.25
193908,72.63,0.55
193909,67.35,2.51
193910,54.7,0.6
193911,42.3,0.61
193912,37.71,5.03
194001,23.83,-6.29
194002,33.84,0.02
194003,41.52,0.02
194004,50.23,-0.81
194005,60.84,0.65
194006,69.57,1.1
194007,74.12,0.53
194008,72.12,0.04
194009,65.34,0.5
194010,56.08,1.98
194011,39,-2.69
194012,36.03,3.35
194101,32.2,2.08
194102,33.53,-0.29
194103,39.2,-2.3
194104,52,0.96
194105,62.31,2.12
194106,67.78,-0.69
194107,73.96,0.37
194108,72.03,-0.05
194109,64.51,-0.33
194110,55.18,1.08
194111,42.91,1.22
194112,36.12,3.44
194201,29.84,-0.28
194202,30.74,-3.08
194203,41.31,-0.19
194204,53.06,2.02
194205,59.07,-1.12
194206,67.89,-0.58
194207,73.94,0.35
194208,71.76,-0.32
194209,63.64,-1.2
194210,54.55,0.45
194211,43.14,1.45
194212,32.97,0.29
194301,29.41,-0.71
194302,36.28,2.46
194303,38.5,-3
194304,52.86,1.82
194305,59.7,-0.49
194306,68.76,0.29
194307,74.25,0.66
194308,73.44,1.36
194309,64.31,-0.53
194310,53.67,-0.43
194311,40.91,-0.78
194312,32.59,-0.09
194401,32.02,1.9
194402,34.5,0.68
194403,38.48,-3.02
194404,48.97,-2.07
194405,62.01,1.82
194406,68.34,-0.13
194407,72.77,-0.82
194408,72.09,0.01
194409,65.25,0.41
194410,55.27,1.17
194411,41.49,-0.2
194412,30.67,-2.01
194501,30.49,0.37
194502,35.28,1.46
194503,45.52,4.02
194504,50.2,-0.84
194505,58.26,-1.93
194506,65.86,-2.61
194507,72.91,-0.68
194508,72.14,0.06
194509,64.98,0.14
194510,54.12,0.02
194511,42.01,0.32
194512,29.08,-3.6
194601,31.39,1.27
194602,34.86,1.04
194603,46.76,5.26
194604,54.59,3.55
194605,58.75,-1.44
194606,68.31,-0.16
194607,73.83,0.24
194608,71.15,-0.93
194609,64.53,-0.31
194610,53.15,-0.95
194611,41.74,0.05
194612,36.18,3.5
194701,31.78,1.66
194702,31.41,-2.41
194703,38.75,-2.75
194704,50.95,-0.09
194705,60.12,-0.07
194706,66.69,-1.78
194707,72.77,-0.82
194708,74.07,1.99
194709,66.52,1.68
194710,58.8,4.7
194711,38.1,-3.59
194712,32.92,0.24
194801,27.88,-2.24
194802,31.62,-2.2
194803,38.71,-2.79
194804,53.35,2.31
194805,60.22,0.03
194806,68.74,0.27
194807,73.22,-0.37
194808,72.03,-0.05
194809,66.06,1.22
194810,53.17,-0.93
194811,41.59,-0.1
194812,32.58,-0.1
194901,25.92,-4.2
194902,31.91,-1.91
194903,40.75,-0.75
194904,52.05,1.01
194905,61.7,1.51
194906,69.22,0.75
194907,74.19,0.6
194908,72.07,-0.01
194909,63.72,-1.12
194910,54.03,-0.07
194911,45.27,3.58
194912,33.26,0.58
195001,30.43,0.31
195002,35.55,1.73
195003,38.84,-2.66
195004,48.65,-2.39
195005,59.43,-0.76
195006,67.91,-0.56
195007,71.2,-2.39
195008,70,-2.08
195009,63.48,-1.36
195010,57.45,3.35
195011,40.62,-1.07
195012,33.01,0.33
195101,30.2,0.08
195102,34.54,0.72
195103,38.55,-2.95
195104,49.73,-1.31
195105,60.76,0.57
195106,66.61,-1.86
195107,73.67,0.08
195108,71.87,-0.21
195109,64.08,-0.76
195110,53.98,-0.12
195111,38.08,-3.61
195112,31.23,-1.45
195201,32,1.88
195202,35.46,1.64
195203,37.69,-3.81
195204,51.66,0.62
195205,60.58,0.39
195206,70.74,2.27
195207,74.07,0.48
195208,72.81,0.73
195209,65.88,1.04
195210,52.95,-1.15
195211,39.92,-1.77
195212,33.44,0.76
195301,36.43,6.31
195302,35.87,2.05
195303,43.75,2.25
195304,48.74,-2.3
195305,59.16,-1.03
195306,70.16,1.69
195307,74.14,0.55
195308,72.09,0.01
195309,66.15,1.31
195310,56.19,2.09
195311,43.88,2.19
195312,33.69,1.01
195401,30.9,0.78
195402,41.41,7.59
195403,39.25,-2.25
195404,54.16,3.12
195405,58.57,-1.62
195406,68.83,0.36
195407,75.45,1.86
195408,72.16,0.08
195409,66.43,1.59
195410,54.66,0.56
195411,44.06,2.37
195412,33.91,1.23
195501,29.35,-0.77
195502,31.05,-2.77
195503,40.06,-1.44
195504,52.84,1.8
195505,61.27,1.08
195506,66.52,-1.95
195507,74.43,0.84
195508,73.85,1.77
195509,65.86,1.02
195510,55.02,0.92
195511,38.21,-3.48
195512,31.71,-0.97
195601,31.01,0.89
195602,32.27,-1.55
195603,40.75,-0.75
195604,49.37,-1.67
195605,61.75,1.56
195606,70.34,1.87
195607,73.04,-0.55
195608,71.67,-0.41
195609,65.08,0.24
195610,56.16,2.06
195611,40.32,-1.37
195612,36.21,3.53
195701,27.07,-3.05
195702,38.07,4.25
195703,41.27,-0.23
195704,50.68,-0.36
195705,59.63,-0.56
195706,68.68,0.21
195707,74.25,0.66
195708,71.64,-0.44
195709,64.17,-0.67
195710,51.67,-2.43
195711,40.26,-1.43
195712,37,4.32
195801,31.6,1.48
195802,31.98,-1.84
195803,37.67,-3.83
195804,50.27,-0.77
195805,62.4,2.21
195806,67.89,-0.58
195807,72.59,-1
195808,73.27,1.19
195809,65.41,0.57
195810,54.73,0.63
195811,43,1.31
195812,32.22,-0.46
195901,29.5,-0.62
195902,32.49,-1.33
195903,41.45,-0.05
195904,51.58,0.54
195905,60.84,0.65
195906,69.94,1.47
195907,73.56,-0.03
195908,73.15,1.07
195909,64.72,-0.12
195910,53.31,-0.79
195911,38.66,-3.03
195912,35.94,3.26
196001,29.46,-0.66
196002,30.52,-3.3
196003,35.91,-5.59
196004,52.57,1.53
196005,59.29,-0.9
196006,69.04,0.57
196007,73.87,0.28
196008,72.19,0.11
196009,66.43,1.59
196010,54.75,0.65
196011,42.71,1.02
196012,30.4,-2.28
196101,29.71,-0.41
196102,37.42,3.6
196103,43.47,1.97
196104,48.67,-2.37
196105,58.86,-1.33
196106,69.48,1.01
196107,73.22,-0.37
196108,72.68,0.6
196109,63.39,-1.45
196110,53.83,-0.27
196111,40.5,-1.19
196112,31.08,-1.6
196201,26.96,-3.16
196202,34.92,1.1
196203,37.9,-3.6
196204,51.84,0.8
196205,62.22,2.03
196206,67.89,-0.58
196207,72.05,-1.54
196208,72.1,0.02
196209,64.17,-0.67
196210,56.1,2
196211,43.16,1.47
196212,33.4,0.72
196301,24.44,-5.68
196302,34.12,0.3
196303,43.72,2.22
196304,51.87,0.83
196305,61,0.81
196306,68.65,0.18
196307,73.58,-0.01
196308,71.96,-0.12
196309,66.33,1.49
196310,59.34,5.24
196311,44.04,2.35
196312,27.9,-4.78
196401,31.53,1.41
196402,31.77,-2.05
196403,38.82,-2.68
196404,51.3,0.26
196405,61.41,1.22
196406,67.98,-0.49
196407,74.64,1.05
196408,70.7,-1.38
196409,63.68,-1.16
196410,53.78,-0.32
196411,42.33,0.64
196412,32.04,-0.64
196501,31.8,1.68
196502,32.52,-1.3
196503,35.44,-6.06
196504,51.87,0.83
196505,60.78,0.59
196506,66.81,-1.66
196507,72.57,-1.02
196508,71.04,-1.04
196509,61.75,-3.09
196510,54.99,0.89
196511,44.65,2.96
196512,35.85,3.17
196601,26.38,-3.74
196602,31.24,-2.58
196603,42.98,1.48
196604,49.96,-1.08
196605,60.17,-0.02
196606,67.91,-0.56
196607,75.04,1.45
196608,70.83,-1.25
196609,64.53,-0.31
196610,52.81,-1.29
196611,43.21,1.52
196612,32.68,0
196701,33.1,2.98
196702,32.88,-0.94
196703,43.63,2.13
196704,51.01,-0.03
196705,57.61,-2.58
196706,67.53,-0.94
196707,72.5,-1.09
196708,71.19,-0.89
196709,64.04,-0.8
196710,53.91,-0.19
196711,41.54,-0.15
196712,32.07,-0.61
196801,28.94,-1.18
196802,32.92,-0.9
196803,43.56,2.06
196804,50.58,-0.46
196805,58.15,-2.04
196806,68.49,0.02
196807,72.84,-0.75
196808,70.57,-1.51
196809,63.88,-0.96
196810,54.63,0.53
196811,41.13,-0.56
196812,30.04,-2.64
196901,29.37,-0.75
196902,32.81,-1.01
196903,36.03,-5.47
196904,52.61,1.57
196905,61.39,1.2
196906,66.79,-1.68
196907,74.07,0.48
196908,73.2,1.12
196909,65.53,0.69
196910,51.03,-3.07
196911,41.59,-0.1
196912,33.46,0.78
197001,27.16,-2.96
197002,35.33,1.51
197003,38.5,-3
197004,49.42,-1.62
197005,61.05,0.86
197006,68.72,0.25
197007,73.94,0.35
197008,73.36,1.28
197009,64.56,-0.28
197010,52.25,-1.85
197011,41.31,-0.38
197012,33.58,0.9
197101,29.41,-0.71
197102,33.48,-0.34
197103,39.65,-1.85
197104,50.27,-0.77
197105,58.24,-1.95
197106,69.42,0.95
197107,72.34,-1.25
197108,72,-0.08
197109,64.31,-0.53
197110,55.06,0.96
197111,41.61,-0.08
197112,33.98,1.3
197201,29.93,-0.19
197202,33.55,-0.27
197203,44.04,2.54
197204,50.79,-0.25
197205,60.51,0.32
197206,68.18,-0.29
197207,72.16,-1.43
197208,71.65,-0.43
197209,64.42,-0.42
197210,52.27,-1.83
197211,38.93,-2.76
197212,29.86,-2.82
197301,29.59,-0.53
197302,33.58,-0.24
197303,44.29,2.79
197304,48.83,-2.21
197305,59.23,-0.96
197306,68.94,0.47
197307,73.24,-0.35
197308,72.57,0.49
197309,64.38,-0.46
197310,56.07,1.97
197311,42.93,1.24
197312,33.71,1.03
197401,31.01,0.89
197402,34.74,0.92
197403,44.38,2.88
197404,51.55,0.51
197405,60.37,0.18
197406,68.47,0
197407,74.07,0.48
197408,70.29,-1.79
197409,62.29,-2.55
197410,53.87,-0.23
197411,42.39,0.7
197412,33.66,0.98
197501,32.34,2.22
197502,32.76,-1.06
197503,38.7,-2.8
197504,46.83,-4.21
197505,60.35,0.16
197506,67.5,-0.97
197507,73.53,-0.06
197508,71.51,-0.57
197509,62.87,-1.97
197510,54.63,0.53
197511,42.6,0.91
197512,34.29,1.61
197601,29.93,-0.19
197602,39.56,5.74
197603,42.31,0.81
197604,51.84,0.8
197605,59.04,-1.15
197606,67.78,-0.69
197607,72.88,-0.71
197608,70.63,-1.45
197609,64.17,-0.67
197610,49.98,-4.12
197611,38.48,-3.21
197612,30.92,-1.76
197701,23.09,-7.03
197702,36.03,2.21
197703,43.16,1.66
197704,54.07,3.03
197705,61.65,1.46
197706,70.32,1.85
197707,74.41,0.82
197708,71.76,-0.32
197709,65.91,1.07
197710,53.98,-0.12
197711,42.85,1.16
197712,33.28,0.6
197801,25.86,-4.26
197802,27.99,-5.83
197803,41.29,-0.21
197804,51.58,0.54
197805,59.72,-0.47
197806,68.92,0.45
197807,73.78,0.19
197808,71.78,-0.3
197809,65.82,0.98
197810,54.39,0.29
197811,41.47,-0.22
197812,29.82,-2.86
197901,21.92,-8.2
197902,28.13,-5.69
197903,42.06,0.56
197904,50.14,-0.9
197905,59.13,-1.06
197906,67.8,-0.67
197907,73.11,-0.48
197908,70.95,-1.13
197909,66.07,1.23
197910,55.26,1.16
197911,39.92,-1.77
197912,36.03,3.35
198001,31.12,1
198002,32.85,-0.97
198003,39.36,-2.14
198004,51.42,0.38
198005,60.26,0.07
198006,68.72,0.25
198007,75.72,2.13
198008,72.77,0.69
198009,66.22,1.38
198010,52.59,-1.51
198011,42.31,0.62
198012,35.19,2.51
198101,32.41,2.29
198102,36.57,2.75
198103,42.85,1.35
198104,55.11,4.07
198105,58.95,-1.24
198106,69.8,1.33
198107,73.92,0.33
198108,72.09,0.01
198109,64.9,0.06
198110,52.3,-1.8
198111,44.73,3.04
198112,33.66,0.98
198201,26.22,-3.9
198202,32.59,-1.23
198203,42.01,0.51
198204,48.61,-2.43
198205,60.78,0.59
198206,66.31,-2.16
198207,73.18,-0.41
198208,72.05,-0.03
198209,64.02,-0.82
198210,53.24,-0.86
198211,41.13,-0.56
198212,35.82,3.14
198301,33.12,3
198302,36.86,3.04
198303,42.39,0.89
198304,46.99,-4.05
198305,57.94,-2.25
198306,67.06,-1.41
198307,73.96,0.37
198308,75.04,2.96
198309,65.57,0.73
198310,54.99,0.89
198311,43.02,1.33
198312,25.48,-7.2
198401,28.83,-1.29
198402,37.38,3.56
198403,40.08,-1.42
198404,49.59,-1.45
198405,60.06,-0.13
198406,68.59,0.12
198407,73.15,-0.44
198408,73.11,1.03
198409,63.12,-1.72
198410,53.6,-0.5
198411,41.54,-0.15
198412,34.54,1.86
198501,26.31,-3.81
198502,30.87,-2.95
198503,43.48,1.98
198504,54.34,3.3
198505,62.06,1.87
198506,68.09,-0.38
198507,74.03,0.44
198508,71.01,-1.07
198509,62.71,-2.13
198510,54.28,0.18
198511,39.51,-2.18
198512,28.81,-3.87
198601,34.68,4.56
198602,35.85,2.03
198603,46.18,4.68
198604,52.86,1.82
198605,61.07,0.88
198606,70.39,1.92
198607,73.49,-0.1
198608,71.69,-0.39
198609,63.68,-1.16
198610,54,-0.1
198611,41.4,-0.29
198612,34.43,1.75
198701,31.44,1.32
198702,37.38,3.56
198703,42.55,1.05
198704,53.51,2.47
198705,62.94,2.75
198706,70.23,1.76
198707,73.24,-0.35
198708,71.85,-0.23
198709,65.23,0.39
198710,52.95,-1.15
198711,43.97,2.28
198712,34.54,1.86
198801,27.79,-2.33
198802,33.69,-0.13
198803,42.4,0.9
198804,51.8,0.76
198805,61.2,1.01
198806,70.84,2.37
198807,74.77,1.18
198808,73.65,1.57
198809,64.58,-0.26
198810,53.94,-0.16
198811,43.29,1.6
198812,33.46,0.78
198901,34.09,3.97
198902,29.17,-4.65
198903,42.67,1.17
198904,52.86,1.82
198905,60.44,0.25
198906,68.11,-0.36
198907,74.19,0.6
198908,71.29,-0.79
198909,64.06,-0.78
198910,54.34,0.24
198911,42.91,1.22
198912,27.73,-4.95
199001,36.48,6.36
199002,36.7,2.88
199003,44.74,3.24
199004,52.5,1.46
199005,58.86,-1.33
199006,70.21,1.74
199007,73.24,-0.35
199008,72.25,0.17
199009,67.33,2.49
199010,53.96,-0.14
199011,44.92,3.23
199012,30.83,-1.85
199101,29.5,-0.62
199102,39.81,5.99
199103,43.32,1.82
199104,52.52,1.48
199105,61.95,1.76
199106,69.04,0.57
199107,73.87,0.28
199108,72.97,0.89
199109,64.89,0.05
199110,54.73,0.63
199111,39.43,-2.26
199112,35.73,3.05
199201,33.62,3.5
199202,39.69,5.87
199203,44.69,3.19
199204,52.52,1.48
199205,61.14,0.95
199206,67.41,-1.06
199207,71.2,-2.39
199208,69.82,-2.26
199209,64.65,-0.19
199210,54.52,0.42
199211,40.06,-1.63
199212,31.75,-0.93
199301,30.47,0.35
199302,31.14,-2.68
199303,41.79,0.29
199304,49.89,-1.15
199305,60.87,0.68
199306,67.19,-1.28
199307,72.12,-1.47
199308,71.87,-0.21
199309,63.28,-1.56
199310,52.95,-1.15
199311,39.2,-2.49
199312,34.2,1.52
199401,29.34,-0.78
199402,31.87,-1.95
199403,44.51,3.01
199404,52.66,1.62
199405,60.66,0.47
199406,70.93,2.46
199407,73.6,0.01
199408,72.18,0.1
199409,65.53,0.69
199410,54.19,0.09
199411,42.55,0.86
199412,36.23,3.55
199501,33.08,2.96
199502,37.36,3.54
199503,43.34,1.84
199504,49.41,-1.63
199505,58.62,-1.57
199506,67.53,-0.94
199507,73.53,-0.06
199508,74.3,2.22
199509,64.67,-0.17
199510,54.45,0.35
199511,42.03,0.34
199512,33.42,0.74
199601,29.7,-0.42
199602,35.69,1.87
199603,39.02,-2.48
199604,50.65,-0.39
199605,60.96,0.77
199606,69.84,1.37
